id_tx,id_cliente,fecha,ciudad,categoria,monto
67,91,2025-07-17,Cali,ropa,5.91
68,284,2025-09-15,Medellin,ropa,190.07
69,228,2025-05-26,Medellin,electronica,742.63
70,184,2025-12-15,Bucaramanga,deportes,26.24
71,23,2025-05-23,Medellin,electronica,285.31
72,211,2025-09-24,Bogota,mercado,121.05
73,43,2025-09-11,Bogota,libros,13.9
74,127,2025-05-09,Bucaramanga,ropa,253.92
75,201,2025-09-24,Barranquilla,hogar,463.2
76,161,2025-12-27,Bucaramanga,libros,34.73
77,52,2025-08-07,Bogota,hogar,89.43
78,297,2025-08-05,Cali,electronica,165.12
79,60,2025-01-19,Medellin,mercado,19.81
80,165,2025-05-14,Medellin,hogar,38.9
81,100,2025-03-09,Cali,libros,30.25
82,311,2025-08-25,Medellin,juguetes,39.87
83,353,2025-05-09,Barranquilla,hogar,94.75
84,38,2025-12-05,Bucaramanga,ropa,14.87
85,339,2025-08-06,Bogota,hogar,13.6
86,13,2025-03-13,Bogota,electronica,231.05
87,214,2025-08-17,Cali,ropa,89.92
88,62,2025-11-11,Bogota,mercado,57.85
89,156,2025-10-16,Bogota,electronica,168.26
90,248,2025-07-12,Medellin,electronica,130.37
91,96,2025-04-19,Medellin,mercado,38.22
92,289,2025-05-25,Bucaramanga,mercado,24.68
93,151,2025-01-26,Bogota,electronica,151.11
94,305,2025-06-01,Bogota,mercado,52.81
95,356,2025-04-26,Bogota,electronica,395.29
96,93,2025-03-25,Bogota,electronica,54.62
97,9,2025-12-13,Medellin,mercado,61.72
98,50,2025-08-12,Bogota,mercado,38.3
99,246,2025-10-03,Medellin,electronica,779.81
100,199,2025-10-07,Bogota,mercado,74.8
101,110,2025-02-25,Cali,ropa,22.05
102,84,2025-07-26,Cali,electronica,30.91
103,285,2025-11-14,Bucaramanga,hogar,136.19
104,228,2025-11-04,Bogota,mercado,5.49
105,63,2025-05-25,Cali,electronica,729.05
106,162,2025-11-10,Barranquilla,deportes,81.46
107,349,2025-04-14,Medellin,ropa,27.86
108,336,2025-12-14,Medellin,juguetes,7.1
109,98,2025-06-18,Medellin,hogar,112.25
110,336,2025-03-22,Cali,deportes,416.04
111,248,2025-07-06,Medellin,electronica,616.87
112,140,2025-09-08,Bucaramanga,ropa,12.42
113,307,2025-04-10,Medellin,ropa,448.08
114,154,2025-03-12,Bogota,juguetes,36.44
115,280,2025-07-21,Bogota,hogar,33.18
116,396,2025-07-04,Cali,libros,245.11
117,25,2025-08-08,Cali,libros,67.93
118,142,2025-04-08,Cartagena,mercado,35.51
119,312,2025-03-19,Cali,electronica,134.48
120,391,2025-10-04,Cali,hogar,151.55
121,133,2025-11-04,Medellin,mercado,105.92
122,308,2025-02-06,Bogota,hogar,211.84
123,16,2025-11-02,Bogota,deportes,172.31
124,41,2025-12-24,Bogota,electronica,156.36
125,191,2025-07-06,Bogota,electronica,154.46
126,358,2025-10-12,Bogota,juguetes,74.7
127,21,2025-09-07,Cali,juguetes,47.08
128,374,2025-07-17,Medellin,electronica,263.43
129,254,2025-01-28,Cali,mercado,7.84
130,68,2025-11-05,Bogota,ropa,82.53
131,351,2025-02-17,Medellin,ropa,82.04
132,345,2025-11-17,Pereira,electronica,89.46
133,326,2025-02-07,Bogota,libros,21.36
134,310,2025-10-15,Cali,hogar,115.88
135,17,2025-10-06,Bucaramanga,electronica,401.16
136,204,2025-03-18,Bucaramanga,electronica,486.6
137,141,2025-09-23,Bogota,hogar,85.51
138,345,2025-05-08,Medellin,mercado,29.2
139,310,2025-10-10,Cali,mercado,15.1
140,180,2025-09-22,Cartagena,ropa,98.35
141,46,2025-08-26,Bogota,juguetes,134.19
142,352,2025-07-20,Cali,electronica,136.42
143,13,2025-10-19,Medellin,electronica,59.93
144,161,2025-01-17,Bucaramanga,ropa,74.46
145,200,2025-02-03,Bucaramanga,hogar,213.77
146,330,2025-07-26,Medellin,libros,55.84
147,8,2025-12-05,Bogota,mercado,25.54
148,357,2025-01-09,Pereira,electronica,78.29
149,203,2025-12-17,Medellin,juguetes,40.99
150,381,2025-05-22,Bogota,ropa,6.14
151,185,2025-05-19,Medellin,electronica,54.83
152,150,2025-10-14,Cali,hogar,36.38
153,311,2025-10-13,Bogota,mercado,24.7
154,340,2025-01-03,Bogota,mercado,19.34
155,115,2025-09-14,Cali,hogar,481.6
156,337,2025-12-20,Bogota,electronica,969.73
157,336,2025-06-20,Medellin,ropa,102.63
158,120,2025-12-15,Bogota,electronica,165.89
159,352,2025-12-13,Bogota,mercado,121.28
160,13,2025-10-20,Medellin,deportes,139.27
161,41,2025-12-11,Cali,deportes,100.4
162,399,2025-05-21,Bogota,hogar,231.39
163,29,2025-08-11,Medellin,electronica,575.1
164,250,2025-02-09,Cali,juguetes,36.35
165,64,2025-10-09,Cali,electronica,200.8
166,149,2025-08-15,Barranquilla,electronica,44.7
167,167,2025-11-28,Medellin,deportes,59.08
168,278,2025-08-03,Medellin,mercado,109.94
169,25,2025-11-11,Bucaramanga,libros,39.56
170,302,2025-09-18,Cartagena,hogar,52.18
171,184,2025-12-15,Bogota,libros,60.56
172,21,2025-10-17,Bogota,ropa,53.59
173,346,2025-09-28,Cali,juguetes,17.83
174,225,2025-12-20,Barranquilla,hogar,65.44
175,195,2025-10-06,Pereira,electronica,113.09
176,330,2025-07-02,Bogota,hogar,115.85
177,302,2025-12-10,Bogota,mercado,11.96
178,298,2025-11-08,Cali,mercado,61.36
179,342,2025-05-07,Bogota,mercado,64.67
180,74,2025-11-26,Pereira,ropa,171.73
181,73,2025-12-09,Medellin,electronica,430.9
182,112,2025-08-23,Medellin,libros,33.86
183,47,2025-09-19,Cali,electronica,193.99
184,74,2025-07-10,Cali,libros,29.04
185,160,2025-12-10,Bogota,electronica,68.1
186,181,2025-11-02,Barranquilla,electronica,427.91
187,234,2025-08-22,Bogota,electronica,176.52
188,235,2025-02-20,Bucaramanga,hogar,179.96
189,247,2025-11-07,Bogota,juguetes,43.12
190,17,2025-11-09,Bogota,hogar,179.1
191,63,2025-09-12,Bogota,mercado,103.94
192,137,2025-04-04,Bogota,mercado,27.68
193,260,2025-10-25,Medellin,hogar,269.63
194,60,2025-10-18,Bogota,electronica,379.99
195,335,2025-07-01,Cali,electronica,457.68
196,6,2025-02-13,Cali,deportes,151.62
197,330,2025-03-25,Bogota,ropa,76.34
198,92,2025-07-16,Bogota,mercado,21.75
199,179,2025-11-25,Cali,juguetes,123.74
200,300,2025-04-19,Cali,mercado,68.01
201,397,2025-05-15,Medellin,libros,10.15
202,148,2025-04-26,Bogota,juguetes,7.91
203,269,2025-03-18,Bogota,ropa,27.46
204,317,2025-10-05,Barranquilla,hogar,50.61
205,33,2025-05-21,Bucaramanga,libros,32.99
206,195,2025-02-20,Medellin,ropa,51.51
207,41,2025-06-24,Cali,electronica,276.02
208,123,2025-05-06,Cali,hogar,230.59
209,225,2025-05-19,Bogota,juguetes,120.4
210,142,2025-03-01,Medellin,electronica,272.63
211,303,2025-02-28,Medellin,hogar,28.77
212,382,2025-12-09,Bogota,ropa,6.35
213,259,2025-09-22,Medellin,electronica,1211.02
214,388,2025-12-13,Medellin,electronica,1131.29
215,158,2025-09-22,Medellin,libros,74.7
216,207,2025-03-10,Cali,deportes,6.21
217,77,2025-07-18,Pereira,ropa,107.64
218,141,2025-02-19,Bucaramanga,mercado,78.04
219,346,2025-02-01,Cali,electronica,218.0
220,103,2025-05-27,Bogota,ropa,247.98
221,339,2025-10-10,Medellin,mercado,108.57
222,295,2025-08-07,Medellin,ropa,45.54
223,101,2025-02-20,Bogota,mercado,10.06
224,281,2025-02-28,Medellin,deportes,12.06
225,264,2025-09-12,Bogota,deportes,16.43
226,122,2025-06-15,Bogota,electronica,1601.64
227,323,2025-12-15,Barranquilla,electronica,115.85
228,161,2025-07-07,Medellin,mercado,6.02
229,260,2025-12-21,Medellin,mercado,14.47
230,281,2025-03-19,Barranquilla,deportes,38.87
231,314,2025-02-13,Medellin,libros,62.67
232,264,2025-02-16,Cali,libros,41.02
233,364,2025-07-24,Bucaramanga,libros,6.2
234,32,2025-09-10,Bucaramanga,hogar,92.17
235,224,2025-05-15,Cali,electronica,62.6
236,266,2025-09-24,Barranquilla,mercado,52.63
237,4,2025-09-15,Bogota,electronica,86.91
238,335,2025-08-17,Medellin,deportes,21.4
239,329,2025-10-23,Medellin,ropa,6.05
240,143,2025-09-06,Medellin,juguetes,16.03
241,218,2025-07-05,Medellin,mercado,105.11
242,23,2025-07-09,Medellin,mercado,29.28
243,114,2025-05-22,Medellin,electronica,102.68
244,151,2025-05-24,Medellin,deportes,6.69
245,205,2025-07-01,Bogota,deportes,155.8
246,307,2025-05-18,Bogota,electronica,38.92
247,289,2025-03-18,Barranquilla,hogar,259.86
248,352,2025-06-21,Bogota,electronica,282.65
249,13,2025-07-26,Cali,electronica,169.65
250,278,2025-07-06,Medellin,electronica,107.4
251,227,2025-12-18,Bogota,deportes,141.97
252,266,2025-11-16,Cali,juguetes,7.57
253,115,2025-08-18,Bogota,ropa,56.96
254,276,2025-06-25,Bucaramanga,electronica,321.96
255,157,2025-09-04,Bogota,ropa,132.57
256,185,2025-10-13,Cali,mercado,59.66
257,323,2025-09-20,Medellin,hogar,10.53
258,32,2025-08-13,Bogota,electronica,37.28
259,38,2025-01-10,Cartagena,ropa,353.28
260,68,2025-08-03,Bogota,hogar,410.48
261,147,2025-11-21,Cali,electronica,381.31
262,156,2025-02-15,Medellin,ropa,5.69
263,53,2025-05-05,Bogota,ropa,88.35
264,210,2025-06-22,Bogota,electronica,113.1
265,144,2025-05-23,Medellin,electronica,1548.37
266,282,2025-09-11,Medellin,electronica,42.2
267,377,2025-06-09,Cartagena,mercado,27.25
268,184,2025-01-20,Medellin,mercado,8.1
269,330,2025-09-23,Pereira,hogar,30.79
270,383,2025-04-02,Medellin,electronica,159.21
271,377,2025-11-10,Bogota,deportes,57.36
272,123,2025-08-10,Bogota,hogar,321.55
273,61,2025-02-11,Medellin,hogar,409.79
274,302,2025-05-05,Cali,ropa,6.19
275,66,2025-03-23,Bogota,mercado,147.63
276,179,2025-11-25,Bogota,libros,25.04
277,346,2025-06-01,Bogota,mercado,111.39
278,44,2025-06-06,Barranquilla,mercado,14.14
279,111,2025-10-25,Bogota,hogar,68.66
280,206,2025-07-28,Cali,ropa,166.25
281,232,2025-02-27,Barranquilla,ropa,138.83
282,142,2025-05-09,Bogota,electronica,42.22
283,173,2025-05-10,Cali,electronica,40.81
284,367,2025-09-02,Bogota,libros,65.59
285,160,2025-10-26,Cali,hogar,210.61
286,152,2025-12-08,Cali,electronica,98.54
287,202,2025-04-21,Medellin,mercado,141.76
288,176,2025-05-07,Cali,mercado,45.21
289,125,2025-11-17,Bucaramanga,libros,89.32
290,379,2025-11-27,Bogota,electronica,496.05
291,263,2025-04-06,Pereira,mercado,16.63
292,347,2025-01-19,Barranquilla,electronica,1037.23
293,213,2025-09-23,Bogota,libros,23.04
294,370,2025-11-21,Cartagena,hogar,45.47
295,134,2025-12-19,Medellin,libros,31.42
296,235,2025-01-27,Bogota,electronica,241.53
297,317,2025-07-17,Medellin,ropa,10.87
298,204,2025-09-03,Bogota,ropa,132.52
299,316,2025-07-20,Medellin,electronica,160.73
300,182,2025-03-05,Medellin,ropa,45.12
301,351,2025-04-26,Bogota,ropa,142.05
302,314,2025-05-22,Cali,hogar,18.26
303,296,2025-11-03,Cartagena,electronica,118.13
304,251,2025-02-26,Bogota,juguetes,10.19
305,376,2025-03-15,Bogota,deportes,20.04
306,251,2025-07-21,Medellin,electronica,74.3
307,325,2025-09-11,Bogota,hogar,122.47
308,365,2025-01-08,Cali,libros,20.61
309,365,2025-02-19,Medellin,ropa,233.1
310,261,2025-09-20,Medellin,mercado,72.09
311,390,2025-10-27,Barranquilla,mercado,9.23
312,269,2025-12-14,Medellin,ropa,39.52
313,62,2025-06-19,Medellin,deportes,16.38
314,132,2025-06-13,Bogota,electronica,494.79
315,131,2025-05-26,Medellin,electronica,200.51
316,345,2025-04-20,Barranquilla,hogar,185.62
317,8,2025-09-25,Barranquilla,libros,7.05
318,382,2025-01-25,Cali,electronica,28.83
319,19,2025-02-13,Medellin,ropa,23.73
320,196,2025-05-02,Medellin,electronica,358.02
321,9,2025-08-16,Pereira,hogar,56.17
322,256,2025-03-19,Bogota,mercado,113.88
323,327,2025-03-02,Bucaramanga,ropa,123.8
324,23,2025-06-13,Medellin,hogar,16.56
325,352,2025-09-21,Cali,electronica,9.82
326,157,2025-02-04,Cartagena,ropa,104.48
327,145,2025-05-28,Medellin,hogar,77.14
328,87,2025-02-27,Barranquilla,deportes,23.52
329,68,2025-06-15,Barranquilla,ropa,71.36
330,2,2025-08-07,Medellin,juguetes,18.32
331,55,2025-06-13,Bogota,deportes,345.59
332,311,2025-04-01,Bogota,electronica,406.24
333,207,2025-05-03,Medellin,hogar,74.42
334,320,2025-05-24,Barranquilla,electronica,776.62
335,269,2025-02-20,Medellin,electronica,299.13
336,264,2025-04-25,Bogota,electronica,96.72
337,89,2025-04-07,Medellin,ropa,10.34
338,141,2025-06-02,Barranquilla,mercado,162.99
339,38,2025-09-28,Cali,libros,101.56
340,127,2025-06-12,Bucaramanga,mercado,21.8
341,9,2025-07-25,Medellin,hogar,45.24
342,113,2025-02-01,Bogota,ropa,36.62
343,4,2025-09-14,Bogota,deportes,351.43
344,91,2025-04-05,Medellin,ropa,45.97
345,202,2025-04-07,Bogota,electronica,25.64
346,282,2025-03-07,Cali,electronica,35.29
347,78,2025-08-23,Cali,electronica,72.61
348,35,2025-01-10,Medellin,mercado,5.5
349,394,2025-10-01,Medellin,hogar,216.43
350,362,2025-09-09,Bogota,electronica,481.25
351,305,2025-04-28,Bogota,mercado,66.33
352,269,2025-09-27,Medellin,mercado,20.18
353,258,2025-04-26,Bogota,ropa,13.4
354,331,2025-05-21,Barranquilla,mercado,174.74
355,253,2025-02-09,Bogota,mercado,6.81
356,127,2025-05-06,Cartagena,electronica,989.51
357,249,2025-05-20,Medellin,mercado,36.87
358,351,2025-05-20,Bogota,juguetes,162.42
359,240,2025-09-20,Cali,libros,49.96
360,108,2025-04-11,Pereira,electronica,172.37
361,261,2025-12-05,Medellin,hogar,223.13
362,248,2025-06-07,Medellin,electronica,256.89
363,119,2025-04-28,Bogota,electronica,411.61
364,315,2025-07-13,Medellin,mercado,16.33
365,43,2025-01-14,Bogota,mercado,28.39
366,313,2025-09-28,Medellin,juguetes,31.99
367,217,2025-12-15,Medellin,electronica,205.92
368,75,2025-04-07,Bogota,libros,21.95
369,99,2025-01-07,Bogota,hogar,50.43
370,131,2025-04-10,Bogota,electronica,738.45
371,5,2025-11-12,Cali,ropa,55.19
372,67,2025-01-17,Medellin,ropa,152.87
373,314,2025-06-20,Medellin,electronica,96.83
374,386,2025-04-23,Cali,electronica,150.18
375,50,2025-04-12,Medellin,electronica,69.65
376,161,2025-11-09,Bucaramanga,hogar,7.33
377,246,2025-09-02,Bogota,ropa,9.59
378,73,2025-05-26,Medellin,mercado,19.41
379,225,2025-08-10,Medellin,ropa,84.02
380,341,2025-06-03,Bogota,juguetes,87.18
381,20,2025-07-12,Medellin,deportes,32.44
382,82,2025-06-22,Bogota,electronica,81.09
383,193,2025-07-02,Bogota,mercado,20.64
384,18,2025-07-08,Medellin,mercado,12.89
385,166,2025-08-07,Bogota,electronica,270.67
386,160,2025-02-28,Cali,mercado,120.97
387,383,2025-01-27,Cali,mercado,54.77
388,320,2025-05-02,Medellin,libros,16.48
389,64,2025-12-06,Bogota,deportes,79.19
390,191,2025-05-05,Bogota,electronica,489.5
391,385,2025-11-18,Bogota,deportes,8.85
392,51,2025-01-01,Medellin,libros,53.63
393,134,2025-03-22,Medellin,hogar,35.79
394,86,2025-09-18,Pereira,mercado,38.58
395,10,2025-02-24,Bogota,electronica,8.24
396,113,2025-01-23,Bogota,mercado,79.5
397,356,2025-03-14,Bogota,ropa,114.57
398,244,2025-07-28,Cali,libros,14.86
399,357,2025-04-11,Cali,electronica,804.41
400,339,2025-07-27,Bogota,ropa,85.88
401,310,2025-07-25,Medellin,libros,106.43
402,108,2025-03-28,Cali,ropa,51.97
403,272,2025-03-13,Bogota,ropa,89.97
404,400,2025-02-09,Bogota,ropa,6.11
405,341,2025-08-22,Bogota,ropa,7.5
406,231,2025-07-09,Cali,hogar,64.24
407,18,2025-02-06,Bogota,hogar,117.16
408,193,2025-12-10,Bogota,ropa,36.42
409,22,2025-01-20,Barranquilla,ropa,6.61
410,282,2025-04-20,Bogota,mercado,35.3
411,197,2025-07-19,Medellin,mercado,97.52
412,155,2025-12-23,Bogota,ropa,62.73
413,258,2025-06-15,Medellin,juguetes,72.21
414,191,2025-12-24,Bogota,ropa,53.2
415,209,2025-12-08,Medellin,deportes,78.14
416,303,2025-06-01,Medellin,libros,25.81
417,225,2025-09-17,Medellin,mercado,8.61
418,177,2025-10-04,Cali,mercado,38.22
419,224,2025-01-10,Cali,electronica,842.76
420,327,2025-09-11,Cali,deportes,16.5
421,135,2025-06-04,Cartagena,mercado,165.41
422,308,2025-02-27,Medellin,mercado,66.88
423,326,2025-05-14,Bogota,electronica,86.92
424,235,2025-04-01,Cali,libros,20.77
425,289,2025-11-17,Medellin,ropa,32.46
426,99,2025-08-24,Bogota,electronica,203.25
427,111,2025-09-20,Bogota,electronica,236.25
428,197,2025-04-09,Medellin,ropa,108.74
429,377,2025-07-01,Bogota,ropa,168.37
430,123,2025-05-23,Bogota,ropa,62.7
431,149,2025-03-12,Medellin,mercado,8.29
432,303,2025-06-04,Barranquilla,mercado,18.06
433,211,2025-11-24,Bogota,ropa,24.18
434,341,2025-12-10,Cali,electronica,478.86
435,88,2025-12-14,Medellin,ropa,17.49
436,292,2025-11-17,Medellin,ropa,5.49
437,314,2025-08-06,Bogota,electronica,308.38
438,276,2025-02-26,Bucaramanga,juguetes,23.75
439,344,2025-09-02,Pereira,electronica,246.96
440,71,2025-09-27,Pereira,ropa,217.05
441,116,2025-02-11,Medellin,mercado,6.02
442,94,2025-02-16,Bogota,ropa,453.51
443,341,2025-08-24,Medellin,deportes,67.3
444,142,2025-12-28,Medellin,juguetes,68.64
445,67,2025-12-17,Cali,hogar,81.46
446,170,2025-04-08,Cali,electronica,210.85
447,277,2025-06-17,Medellin,mercado,10.86
448,60,2025-06-24,Bucaramanga,ropa,40.42
449,256,2025-02-05,Medellin,electronica,756.94
450,271,2025-02-21,Medellin,mercado,10.45
451,217,2025-07-10,Medellin,ropa,75.76
452,310,2025-11-19,Medellin,mercado,39.18
453,181,2025-03-14,Medellin,hogar,126.5
454,146,2025-05-20,Bogota,deportes,591.64
455,71,2025-02-06,Cali,hogar,180.85
456,237,2025-07-05,Cali,electronica,109.97
457,127,2025-12-11,Medellin,deportes,95.97
458,289,2025-06-22,Medellin,libros,56.38
459,230,2025-03-07,Medellin,electronica,72.85
460,139,2025-10-05,Barranquilla,mercado,44.39
461,225,2025-07-25,Bogota,ropa,61.14
462,378,2025-02-05,Medellin,hogar,62.54
463,367,2025-07-25,Medellin,hogar,45.4
464,296,2025-03-17,Cali,hogar,10.65
465,390,2025-12-24,Medellin,hogar,36.83
466,140,2025-11-11,Bogota,electronica,297.58
467,308,2025-03-15,Cali,ropa,392.03
468,230,2025-02-22,Cali,hogar,294.87
469,186,2025-02-02,Bogota,electronica,355.18
470,352,2025-04-10,Pereira,ropa,78.98
471,108,2025-10-25,Bogota,deportes,5.85
472,325,2025-10-21,Medellin,electronica,196.88
473,368,2025-12-27,Bogota,deportes,93.14
474,255,2025-03-16,Medellin,hogar,29.03
475,33,2025-04-15,Cali,mercado,100.71
476,99,2025-12-25,Medellin,juguetes,91.06
477,233,2025-05-02,Medellin,electronica,230.52
478,229,2025-02-15,Medellin,juguetes,55.22
479,389,2025-05-02,Bogota,electronica,625.76
480,330,2025-02-04,Bogota,deportes,11.04
481,166,2025-02-06,Medellin,electronica,57.87
482,103,2025-03-07,Cali,ropa,29.07
483,290,2025-09-14,Bogota,ropa,84.1
484,365,2025-10-07,Medellin,electronica,111.8
485,313,2025-07-01,Cartagena,ropa,344.23
486,254,2025-01-18,Cartagena,juguetes,46.41
487,90,2025-05-08,Medellin,mercado,76.04
488,336,2025-06-25,Medellin,mercado,102.97
489,100,2025-01-04,Bogota,hogar,204.73
490,319,2025-02-09,Barranquilla,deportes,34.33
491,67,2025-07-21,Medellin,electronica,1124.81
492,57,2025-03-22,Bogota,electronica,9.39
493,18,2025-01-02,Bogota,electronica,459.27
494,367,2025-12-26,Bogota,ropa,62.82
495,11,2025-07-28,Medellin,libros,9.21
496,94,2025-02-06,Medellin,electronica,26.75
497,239,2025-12-16,Pereira,ropa,58.66
498,380,2025-11-26,Bogota,hogar,29.69
499,249,2025-03-16,Bogota,ropa,169.15
500,308,2025-08-13,Medellin,ropa,12.07
501,233,2025-05-06,Medellin,electronica,22.88
502,101,2025-03-21,Barranquilla,ropa,19.69
503,387,2025-11-28,Bogota,mercado,155.99
504,136,2025-12-28,Medellin,electronica,959.24
505,46,2025-07-17,Cartagena,libros,66.22
506,149,2025-12-01,Bogota,deportes,36.87
507,281,2025-09-02,Cali,ropa,181.9
508,330,2025-03-27,Bogota,ropa,63.13
509,214,2025-03-11,Bogota,deportes,196.12
510,135,2025-03-24,Medellin,electronica,772.22
511,158,2025-08-11,Bogota,electronica,395.79
512,379,2025-11-06,Medellin,ropa,147.58
513,227,2025-07-02,Bogota,libros,25.72
514,227,2025-08-01,Cali,mercado,11.44
515,362,2025-02-11,Bogota,hogar,12.06
516,23,2025-02-27,Medellin,electronica,527.23
517,60,2025-08-20,Bucaramanga,juguetes,141.23
518,340,2025-05-17,Medellin,hogar,184.69
519,58,2025-01-28,Medellin,mercado,100.8
520,249,2025-12-12,Cali,electronica,149.19
521,368,2025-02-07,Medellin,hogar,210.82
522,102,2025-04-21,Pereira,libros,114.52
523,322,2025-10-16,Medellin,mercado,77.88
524,234,2025-08-27,Medellin,libros,20.12
525,228,2025-01-18,Bogota,hogar,42.65
526,254,2025-02-06,Barranquilla,deportes,161.98
527,58,2025-05-19,Bogota,mercado,29.4
528,307,2025-09-24,Bogota,mercado,54.02
529,171,2025-11-20,Bogota,mercado,108.66
530,100,2025-11-24,Bogota,libros,15.36
531,338,2025-09-26,Medellin,hogar,215.75
532,62,2025-06-14,Bogota,juguetes,40.94
533,387,2025-11-19,Cali,ropa,203.94
534,306,2025-05-28,Bogota,ropa,147.06
535,373,2025-07-24,Bucaramanga,mercado,15.62
536,83,2025-07-12,Bogota,ropa,296.43
537,42,2025-02-15,Barranquilla,electronica,101.03
538,157,2025-10-20,Cali,electronica,880.26
539,182,2025-04-19,Medellin,hogar,73.83
540,70,2025-01-18,Bucaramanga,ropa,16.29
541,211,2025-04-08,Cali,mercado,73.47
542,80,2025-11-08,Bogota,mercado,19.01
543,372,2025-07-17,Cali,hogar,132.87
544,95,2025-02-15,Bogota,deportes,11.1
545,247,2025-04-08,Medellin,mercado,9.02
546,126,2025-02-18,Cali,ropa,54.21
547,8,2025-06-09,Medellin,mercado,40.01
548,136,2025-11-20,Bogota,deportes,263.89
549,332,2025-09-13,Bogota,mercado,57.37
550,141,2025-11-16,Medellin,hogar,325.03
551,210,2025-04-25,Medellin,electronica,17.99
552,91,2025-03-04,Pereira,electronica,258.38
553,162,2025-12-12,Barranquilla,ropa,455.49
554,162,2025-04-13,Cali,ropa,28.72
555,191,2025-03-23,Bogota,hogar,121.06
556,95,2025-10-12,Medellin,mercado,6.42
557,91,2025-12-25,Bogota,electronica,228.68
558,305,2025-06-05,Pereira,ropa,67.92
559,267,2025-02-10,Medellin,hogar,157.62
560,172,2025-01-13,Cali,electronica,89.1
561,380,2025-02-08,Medellin,mercado,30.5
562,72,2025-09-17,Bogota,ropa,22.3
563,172,2025-07-23,Cali,mercado,28.28
564,350,2025-12-24,Cali,mercado,19.82
565,109,2025-05-27,Medellin,hogar,152.24
566,263,2025-06-08,Medellin,mercado,18.42
567,319,2025-01-11,Cali,hogar,246.43
568,373,2025-04-08,Cali,hogar,57.23
569,25,2025-04-21,Medellin,mercado,131.58
570,195,2025-01-26,Bogota,electronica,6.1
571,240,2025-07-11,Medellin,mercado,28.55
572,100,2025-04-17,Cali,electronica,611.82
573,27,2025-09-10,Bogota,electronica,642.11
574,174,2025-02-12,Medellin,electronica,108.94
575,245,2025-10-16,Cali,libros,20.27
576,75,2025-12-15,Medellin,electronica,338.03
577,204,2025-09-11,Barranquilla,mercado,155.1
